,reward
501,-4.046700000000031
502,-2.3905000000000167
503,-1.7400000000000135
504,-6.524200000000047
505,-10.294700000000015
506,-24.31720000000011
507,-5.093700000000036
508,-4.507600000000035
509,-4.560300000000038
510,-20.575800000000125
511,-1.9006000000000083
512,-4.561900000000036
513,-8.82510000000006
514,-3.7525000000000386
515,-3.1403000000000327
516,-6.694800000000055
517,-5.952800000000053
518,-3.138100000000028
519,-5.390600000000023
520,-9.922400000000028
521,-3.282000000000039
522,-8.036300000000058
523,-1.4900000000000149
524,-2.723600000000015
525,-9.079100000000064
526,-10.383300000000045
527,-6.975700000000044
528,-2.6104000000000136
529,-0.9856000000000007
530,-23.59920000000011
531,-7.032700000000044
532,-3.426500000000028
533,-3.016900000000021
534,-4.595000000000038
535,-3.133700000000033
536,-3.752200000000041
537,-6.8025000000000695
538,-2.1740000000000115
539,-4.555000000000038
540,-3.251200000000023
541,-3.233400000000022
542,-3.5775000000000268
543,-6.44610000000004
544,-4.659200000000021
545,-2.6889000000000203
546,-3.9975000000000542
547,-4.084900000000034
548,-1.1722000000000026
549,-2.8428000000000337
550,-4.965400000000021
551,-1.493900000000005
552,-2.768300000000017
553,-3.420200000000035
554,-1.7816000000000156
555,-3.483900000000016
556,-3.2163000000000275
557,-1.4618000000000027
558,-1.386
559,-4.071900000000037
560,-6.277800000000037
561,-1.5091999999999997
562,-3.168400000000018
563,-16.857900000000082
564,-3.5158000000000214
565,-2.838700000000036
566,-7.566500000000062
567,-3.441200000000037
568,-1.7303000000000053
569,-7.075100000000029
570,-9.098700000000084
571,-3.930200000000031
572,-2.886200000000034
573,-2.6296000000000204
574,-5.910100000000052
575,-1.379900000000005
576,-2.6541000000000143
577,-1.2980000000000016
578,-8.932500000000049
579,-3.36780000000004
580,-4.167000000000048
581,-1.7946000000000095
582,-8.548500000000033
583,-5.60970000000005
584,-6.600300000000065
585,-9.15990000000004
586,-1.9158000000000017
587,-4.618300000000037
588,-11.456300000000057
589,-1.9572000000000012
590,-7.740900000000065
591,-2.4329000000000196
592,-16.117800000000074
593,-3.3614000000000215
594,-1.8859000000000026
595,-4.21890000000004
596,-4.442300000000041
597,-19.451900000000062
598,-36.820300000000145
599,-37.46650000000019
600,-13.512300000000073
601,-7.461800000000053
602,-11.576100000000062
603,-5.25590000000005
604,-6.206800000000063
605,-3.1586000000000203
606,-3.7660000000000418
607,-5.820500000000034
608,-3.6228000000000513
609,-2.405700000000016
610,-4.088900000000012
611,-8.125600000000063
612,-3.405400000000034
613,-2.551600000000022
614,-6.896800000000025
615,-11.51600000000007
616,-7.360700000000044
617,-1.7248000000000043
618,-1.6544000000000014
619,-3.572800000000037
620,-2.4285000000000228
621,-4.577400000000034
622,-12.780400000000094
623,-2.085800000000003
624,-3.735500000000034
625,-2.3363000000000143
626,-27.00740000000009
627,-2.7699000000000304
628,-3.6356000000000197
629,-1.5707000000000062
630,-5.881900000000041
631,-4.585300000000034
632,-7.958300000000025
633,-2.731900000000029
634,-7.56320000000006
635,-32.12560000000007
636,-4.765700000000034
637,-4.039400000000033
638,-3.3013000000000137
639,-2.2046000000000023
640,-2.112400000000025
641,-8.025300000000053
642,-6.603900000000053
643,-1.8841000000000163
644,-7.986700000000079
645,-3.5965000000000273
646,-2.6725000000000168
647,-5.144100000000059
648,-1.3241000000000087
649,-6.518200000000063
650,-7.050300000000065
651,-1.440800000000008
652,-13.57370000000003
653,-3.0616000000000367
654,-7.457900000000062
655,-1.4225000000000092
656,-1.5644000000000002
657,-2.053800000000011
658,-3.5124000000000337
659,-9.168300000000048
660,-1.701100000000005
661,-2.1263000000000005
662,-5.514600000000037
663,-1.9545000000000081
664,-3.5609000000000233
665,-6.327600000000037
666,-2.8853000000000186
667,-6.119600000000044
668,-1.965700000000002
669,-4.209400000000028
670,-2.4948000000000095
671,-2.902000000000017
672,-5.933500000000057
673,-2.7076000000000193
674,-11.351500000000051
675,-2.768800000000038
676,-1.9630000000000174
677,-5.678000000000064
678,-6.7025000000000485
679,-4.078800000000032
680,-3.607800000000014
681,-3.313500000000031
682,-6.3758000000000346
683,-2.344100000000026
684,-2.0918000000000045
685,-5.074300000000027
686,-4.32600000000003
687,-2.0671000000000053
688,-7.041700000000049
689,-10.993700000000011
690,-2.4424000000000046
691,-10.079500000000051
692,-3.4106000000000183
693,-2.066200000000007
694,-16.03680000000008
695,-6.761300000000037
696,-11.445600000000034
697,-1.4827000000000108
698,-19.189300000000124
699,-4.4656000000000216
700,-3.905400000000032
701,-5.717100000000063
702,-6.407900000000053
703,-2.7583000000000264
704,-3.303200000000042
705,-18.242600000000035
706,-11.421600000000057
707,-1.9364000000000021
708,-2.343100000000021
709,-3.833200000000033
710,-10.141200000000072
711,-1.7458000000000093
712,-2.097100000000027
713,-4.469800000000035
714,-2.9962000000000155
715,-2.712500000000017
716,-4.887300000000044
717,-3.180100000000017
718,-10.88640000000001
719,-12.2627000000001
720,-9.606700000000096
721,-6.610600000000031
722,-5.859800000000049
723,-2.9656000000000358
724,-1.0402000000000045
725,-1.7994000000000165
726,-3.4126000000000243
727,-4.214700000000028
728,-2.990400000000014
729,-7.273100000000071
730,-19.24720000000008
731,-19.493300000000094
732,-2.1138000000000012
733,-8.333800000000052
734,-3.7723000000000333
735,-10.173000000000078
736,-4.352400000000037
737,-3.8810000000000326
738,-2.286800000000028
739,-1.9931000000000194
740,-1.8376000000000159
741,-6.335600000000041
742,-2.687500000000029
743,-3.223600000000022
744,-3.621000000000036
745,-4.245800000000043
746,-9.493300000000074
747,-3.88120000000004
748,-2.9688000000000354
749,-1.3832000000000024
750,-4.096700000000036
751,-3.066100000000021
752,-2.5964000000000134
753,-1.364500000000006
754,-2.8386000000000307
755,-28.2518000000001
756,-1.8449000000000204
757,-12.270200000000054
758,-33.271800000000106
759,-4.451900000000066
760,-3.3761000000000276
761,-1.606200000000012
762,-1.6192000000000015
763,-6.829600000000032
764,-4.895200000000037
765,-2.1852000000000062
766,-20.49980000000012
767,-58.90170000000021
768,-74.23790000000025
769,-20.480200000000004
770,-5.270600000000049
771,-4.256800000000034
772,-12.933600000000098
773,-4.011200000000023
774,-2.6070000000000233
775,-11.71310000000007
776,-5.670500000000049
777,-4.158700000000036
778,-8.082900000000077
779,-17.981700000000046
780,-8.596500000000068
781,-3.634600000000035
782,-1.8444000000000313
783,-35.57710000000006
784,-1.9913999999999994
785,-2.564400000000026
786,-5.242200000000052
787,-11.056700000000081
788,-3.912700000000024
789,-5.41090000000003
790,-12.50870000000009
791,-3.5503000000000347
792,-4.727200000000038
793,-8.36560000000002
794,-11.69400000000009
795,-10.946400000000082
796,-10.642600000000026
797,-7.658300000000059
798,-2.4694000000000194
799,-2.0731000000000073
800,-5.002500000000037
801,-17.921000000000042
802,-3.1527000000000207
803,-1.493800000000007
804,-8.152200000000063
805,-7.132900000000037
806,-2.9751000000000225
807,-6.485600000000034
808,-2.4227000000000114
809,-7.9467000000000665
810,-2.757400000000027
811,-11.696800000000074
812,-2.863700000000016
813,-4.923800000000028
814,-2.3047000000000235
815,-3.2625000000000353
816,-14.489300000000009
817,-0.9994000000000016
818,-6.689200000000074
819,-11.376800000000063
820,-2.675600000000033
821,-4.267300000000043
822,-1.7926000000000077
823,-2.503700000000015
824,-15.85720000000009
825,-5.863500000000047
826,-2.244300000000012
827,-1.4208000000000074
828,-3.8523000000000343
829,-1.2860000000000071
830,-1.9821000000000055
831,-2.359800000000018
832,-11.15160000000006
833,-70.4001000000002
834,-68.05820000000023
835,-8.47850000000005
836,-12.454700000000045
837,-29.93570000000014
838,-3.3176000000000267
839,-3.2692000000000254
840,-5.163000000000017
841,-2.4696000000000122
842,-2.6121000000000163
843,-2.4894000000000145
844,-2.7489000000000208
845,-2.748000000000021
846,-2.468200000000021
847,-3.040500000000014
848,-3.5888000000000346
849,-3.9020000000000317
850,-3.8253000000000306
851,-1.420400000000005
852,-3.251600000000013
853,-3.981600000000034
854,-5.577000000000046
855,-2.368700000000018
856,-2.795300000000016
857,-3.234400000000009
858,-27.437400000000082
859,-3.670600000000032
860,-8.242300000000032
861,-7.525600000000071
862,-9.964900000000071
863,-1.3400000000000063
864,-1.6850000000000007
865,-1.8380000000000016
866,-2.256000000000024
867,-3.948700000000025
868,-5.904500000000025
869,-2.6383000000000076
870,-4.000100000000023
871,-2.6135000000000175
872,-1.5091999999999997
873,-6.941900000000044
874,-5.354500000000036
875,-1.4858000000000007
876,-4.949200000000031
877,-4.25270000000004
878,-1.5922000000000038
879,-1.8826000000000083
880,-3.1333000000000246
881,-2.5664000000000207
882,-6.535300000000038
883,-3.6109000000000346
884,-11.62180000000007
885,-6.594500000000044
886,-5.335600000000036
887,-3.096200000000022
888,-14.41220000000005
889,-4.964300000000035
890,-5.435600000000029
891,-4.694800000000024
892,-6.163000000000026
893,-3.3697000000000163
894,-7.63260000000004
895,-5.54680000000002
896,-1.5707999999999995
897,-4.527700000000048
898,-10.518700000000031
899,-98.93570000000015
900,-9.79300000000004
901,-2.1855000000000175
902,-3.0062000000000206
903,-4.1242000000000365
904,-5.220200000000034
905,-10.87640000000004
906,-2.001999999999999
907,-5.332900000000023
908,-4.333300000000041
909,-11.99940000000007
910,-13.944700000000068
911,-1.878799999999999
912,-2.9444000000000115
913,-2.3776000000000064
914,-2.8187000000000175
915,-3.208000000000021
916,-3.026900000000026
917,-3.7491000000000585
918,-3.640000000000025
919,-3.212000000000022
920,-2.939000000000006
921,-2.6577000000000126
922,-2.4537000000000155
923,-2.3531000000000093
924,-2.8274000000000137
925,-4.5108000000000334
926,-14.831700000000064
927,-2.219500000000024
928,-2.1571000000000047
929,-7.511300000000068
930,-2.7017000000000206
931,-4.458400000000045
932,-8.18820000000007
933,-2.5001000000000193
934,-1.3691000000000018
935,-2.1873000000000125
936,-2.3983000000000207
937,-9.96240000000006
938,-9.050000000000042
939,-5.54330000000003
940,-5.438600000000025
941,-6.7768000000000335
942,-4.674500000000059
943,-8.368800000000054
944,-4.182200000000039
945,-2.7056000000000346
946,-12.054900000000044
947,-2.6239000000000083
948,-4.780200000000044
949,-4.301400000000042
950,-10.659300000000039
951,-2.9257000000000106
952,-4.007100000000043
953,-1.6323999999999994
954,-2.3066000000000155
955,-7.181100000000054
956,-4.764600000000042
957,-12.52260000000006
958,-7.498100000000035
959,-6.626700000000031
960,-6.067400000000035
961,-11.204500000000104
962,-4.358500000000039
963,-2.600300000000021
964,-10.104400000000037
965,-7.064400000000046
966,-7.512900000000047
967,-12.476600000000065
968,-9.17910000000007
969,-2.7901000000000264
970,-2.6292000000000075
971,-1.8875000000000128
972,-6.136200000000036
973,-2.3459000000000154
974,-3.987000000000025
975,-1.5083000000000044
976,-1.6058000000000021
977,-2.540200000000015
978,-6.9053000000000395
979,-1.5402000000000005
980,-4.1159000000000185
981,-4.499700000000041
982,-1.7794000000000034
983,-2.470600000000014
984,-1.3080000000000074
985,-12.27840000000005
986,-2.890600000000018
987,-5.429800000000032
988,-36.710200000000064
989,-2.1973000000000193
990,-6.929200000000067
991,-1.4943000000000044
992,-12.274000000000033
993,-3.283700000000026
994,-10.036300000000065
995,-2.3116000000000043
996,-2.2407000000000163
997,-1.934000000000001
998,-1.6616000000000035
999,-5.524600000000051
